address_id,lat,lon,address_type
A00001,13.041828,77.457503,residential
A00002,12.916963,77.670941,residential
A00003,13.117654,77.476082,residential
A00004,12.858939,77.515591,residential
A00005,12.857961,77.509651,residential
A00006,13.013482,77.516132,residential
A00007,13.092829,77.45195,commercial
A00008,13.059442,77.552075,residential
A00009,13.137164,77.550978,residential
A00010,12.879015,77.704248,residential
A00011,13.092138,77.66892,residential
A00012,13.141935,77.56356,residential
A00013,13.098821,77.635556,commercial
A00014,13.023206,77.661372,residential
A00015,12.918369,77.536816,residential
A00016,12.919837,77.4803,residential
A00017,13.040705,77.55945,residential
A00018,12.912852,77.530093,shared
A00019,13.044411,77.632739,residential
A00020,13.068738,77.499021,residential
A00021,13.146857,77.642,residential
A00022,13.055384,77.702856,commercial
A00023,12.918714,77.45963,residential
A00024,12.930322,77.513295,shared
A00025,13.11291,77.544403,residential
A00026,12.96869,77.724364,residential
A00027,12.929464,77.523988,residential
A00028,12.928822,77.625376,commercial
A00029,12.96982,77.515796,shared
A00030,13.002858,77.477273,residential
A00031,12.882895,77.638234,commercial
A00032,12.976648,77.469058,residential
A00033,13.148836,77.608734,shared
A00034,13.108234,77.453444,commercial
A00035,13.054513,77.611091,residential
A00036,13.042289,77.483466,residential
A00037,12.986117,77.736145,commercial
A00038,12.929017,77.600176,residential
A00039,13.123788,77.711156,residential
A00040,13.041685,77.632691,residential
A00041,13.078753,77.611814,commercial
A00042,13.009106,77.450172,residential
A00043,12.855843,77.72873,commercial
A00044,13.0995,77.542254,residential
A00045,13.113403,77.734085,residential
A00046,12.995797,77.470764,commercial
A00047,13.07975,77.488517,residential
A00048,13.014941,77.529517,commercial
A00049,12.976941,77.513539,residential
A00050,13.068979,77.510345,residential
A00051,13.148545,77.644963,residential
A00052,13.005273,77.486301,residential
A00053,12.951426,77.626493,residential
A00054,12.916065,77.471298,residential
A00055,12.918683,77.721626,commercial
A00056,12.871257,77.521401,residential
A00057,12.914271,77.489694,shared
A00058,13.021313,77.591801,commercial
A00059,13.092249,77.507123,residential
A00060,12.979315,77.577074,residential
A00061,13.068723,77.652009,shared
A00062,12.879525,77.570786,residential
A00063,13.108502,77.524597,residential
A00064,12.984584,77.576564,residential
A00065,12.924942,77.72698,residential
A00066,13.108405,77.615098,residential
A00067,13.149785,77.700808,shared
A00068,13.12791,77.704609,residential
A00069,12.995692,77.514124,residential
A00070,12.867591,77.563692,shared
A00071,12.929561,77.685221,residential
A00072,12.976902,77.737195,shared
A00073,13.01673,77.665522,residential
A00074,12.939012,77.740613,residential
A00075,13.012659,77.674393,residential
A00076,13.025253,77.600855,commercial
A00077,12.89723,77.738234,residential
A00078,12.905747,77.628511,residential
A00079,12.920561,77.485966,commercial
A00080,12.923865,77.628356,residential
A00081,12.975767,77.625102,residential
A00082,13.130412,77.511278,residential
A00083,12.921606,77.568736,residential
A00084,12.939999,77.544853,commercial
A00085,12.871763,77.587486,shared
A00086,13.148829,77.471978,residential
A00087,12.92956,77.729978,commercial
