chargeback_id,txn_id,filed_at,reason_code,outcome
CB0000022,T0000022,2026-03-03 02:59:00,duplicate,lost
CB0000084,T0000084,2026-08-01 06:14:00,product_not_received,pending
CB0000120,T0000120,2026-07-19 12:23:00,credit_not_processed,won
CB0000153,T0000153,2026-03-19 03:48:00,duplicate,won
CB0000158,T0000158,2026-03-22 09:07:00,duplicate,pending
CB0000166,T0000166,2026-06-07 12:27:00,duplicate,won
CB0000179,T0000179,2026-04-25 17:51:00,product_not_received,won
CB0000281,T0000281,2026-04-29 22:02:00,duplicate,lost
CB0000292,T0000292,2026-03-08 23:23:00,product_not_received,pending
CB0000314,T0000314,2026-05-22 18:26:00,product_not_received,pending
CB0000316,T0000316,2026-06-03 05:32:00,duplicate,lost
CB0000317,T0000317,2026-03-03 00:34:00,credit_not_processed,pending
CB0000358,T0000358,2026-07-04 08:00:00,duplicate,pending
CB0000380,T0000380,2026-02-17 18:26:00,duplicate,won
CB0000391,T0000391,2026-02-21 22:54:00,fraud,pending
CB0000408,T0000408,2026-04-12 04:26:00,credit_not_processed,pending
CB0000440,T0000440,2026-03-13 17:35:00,credit_not_processed,pending
CB0000478,T0000478,2026-05-14 10:02:00,fraud,lost
CB0000497,T0000497,2026-02-21 21:22:00,product_not_received,won
CB0000539,T0000539,2026-07-28 10:04:00,credit_not_processed,lost
CB0000588,T0000588,2026-03-16 21:36:00,credit_not_processed,won
CB0000589,T0000589,2026-06-15 00:48:00,duplicate,lost
CB0000607,T0000607,2026-07-18 15:33:00,duplicate,pending
CB0000646,T0000646,2026-02-04 03:06:00,credit_not_processed,pending
CB0000678,T0000678,2026-07-28 20:58:00,duplicate,won
CB0000846,T0000846,2026-04-28 22:59:00,product_not_received,won
CB0000855,T0000855,2026-05-26 07:26:00,fraud,lost
CB0000884,T0000884,2026-04-17 20:18:00,fraud,won
CB0000937,T0000937,2026-03-23 13:32:00,credit_not_processed,won
CB0000958,T0000958,2026-02-13 01:29:00,credit_not_processed,won
CB0000966,T0000966,2026-01-31 16:27:00,product_not_received,pending
CB0001021,T0001021,2026-03-31 00:09:00,duplicate,lost
CB0001108,T0001108,2026-06-25 04:36:00,fraud,pending
CB0001231,T0001231,2026-04-17 01:53:00,credit_not_processed,pending
CB0001241,T0001241,2026-06-04 00:05:00,duplicate,won
CB0001321,T0001321,2026-03-04 19:27:00,credit_not_processed,pending
CB0001363,T0001363,2026-05-19 04:57:00,duplicate,lost
CB0001370,T0001370,2026-05-31 00:22:00,fraud,won
CB0001389,T0001389,2026-07-31 03:48:00,duplicate,won
CB0001392,T0001392,2026-07-14 17:11:00,duplicate,lost
CB0001466,T0001466,2026-04-17 15:02:00,product_not_received,pending
CB0001509,T0001509,2026-06-27 01:41:00,product_not_received,pending
CB0001529,T0001529,2026-01-29 09:48:00,fraud,pending
CB0001543,T0001543,2026-01-14 15:40:00,fraud,lost
CB0001596,T0001596,2026-01-24 18:42:00,credit_not_processed,won
CB0001599,T0001599,2026-02-02 11:40:00,fraud,lost
CB0001678,T0001678,2026-04-20 13:26:00,fraud,pending
CB0001785,T0001785,2026-07-11 10:10:00,fraud,pending
CB0001836,T0001836,2026-06-27 19:27:00,duplicate,lost
CB0001846,T0001846,2026-01-31 15:59:00,fraud,lost
CB0001849,T0001849,2026-07-11 09:11:00,credit_not_processed,lost
CB0001906,T0001906,2026-01-25 17:59:00,duplicate,pending
CB0001929,T0001929,2026-03-18 02:18:00,fraud,pending
CB0001955,T0001955,2026-06-05 05:38:00,product_not_received,won
CB0001965,T0001965,2026-08-05 15:31:00,credit_not_processed,won
CB0001978,T0001978,2026-07-27 17:34:00,product_not_received,pending
CB0002020,T0002020,2026-06-13 14:48:00,duplicate,won
CB0002043,T0002043,2026-07-10 13:19:00,fraud,won
CB0002050,T0002050,2026-05-03 00:38:00,duplicate,won
CB0002055,T0002055,2026-04-26 08:24:00,credit_not_processed,lost
CB0002078,T0002078,2026-05-18 11:20:00,credit_not_processed,pending
CB0002154,T0002154,2026-03-27 00:02:00,product_not_received,won
CB0002213,T0002213,2026-01-16 07:47:00,product_not_received,lost
CB0002294,T0002294,2026-05-24 06:59:00,product_not_received,won
CB0002313,T0002313,2026-03-01 22:12:00,credit_not_processed,lost
CB0002356,T0002356,2026-06-04 14:38:00,fraud,pending
CB0002404,T0002404,2026-07-15 17:17:00,duplicate,pending
CB0002420,T0002420,2026-04-01 03:46:00,product_not_received,pending
CB0002425,T0002425,2026-01-25 16:42:00,product_not_received,lost
CB0002472,T0002472,2026-05-22 04:27:00,fraud,pending
CB0002545,T0002545,2026-06-09 00:28:00,fraud,pending
CB0002623,T0002623,2026-05-07 04:09:00,fraud,pending
CB0002648,T0002648,2026-06-29 10:14:00,fraud,pending
CB0002709,T0002709,2026-01-31 10:24:00,product_not_received,won
CB0002726,T0002726,2026-03-12 18:52:00,fraud,lost
CB0002753,T0002753,2026-02-01 02:26:00,duplicate,lost
CB0002802,T0002802,2026-01-17 19:07:00,credit_not_processed,pending
CB0002850,T0002850,2026-07-29 13:42:00,credit_not_processed,won
CB0002880,T0002880,2026-01-20 18:12:00,fraud,won
CB0002907,T0002907,2026-03-11 08:30:00,credit_not_processed,lost
CB0003005,T0003005,2026-01-09 23:34:00,product_not_received,pending
CB0003062,T0003062,2026-03-07 17:10:00,fraud,pending
CB0003108,T0003108,2026-02-20 02:17:00,credit_not_processed,pending
CB0003149,T0003149,2026-03-05 12:02:00,duplicate,pending
CB0003305,T0003305,2026-02-03 23:53:00,credit_not_processed,lost
CB0003310,T0003310,2026-02-14 19:06:00,duplicate,pending
CB0003312,T0003312,2026-07-05 00:45:00,credit_not_processed,lost
CB0003343,T0003343,2026-03-28 03:35:00,fraud,won
CB0003354,T0003354,2026-04-17 14:31:00,product_not_received,pending
CB0003440,T0003440,2026-01-18 00:41:00,fraud,lost
CB0003609,T0003609,2026-03-19 05:39:00,product_not_received,lost
CB0003677,T0003677,2026-08-09 04:07:00,duplicate,lost
CB0003701,T0003701,2026-07-25 12:01:00,credit_not_processed,won
CB0003780,T0003780,2026-02-04 23:24:00,product_not_received,won
CB0003788,T0003788,2026-02-01 08:33:00,credit_not_processed,won
CB0003861,T0003861,2026-05-25 09:32:00,fraud,pending
CB0003961,T0003961,2026-05-11 02:56:00,product_not_received,won
CB0003984,T0003984,2026-04-02 00:56:00,duplicate,won
CB0003993,T0003993,2026-05-20 15:35:00,credit_not_processed,won
CB0004031,T0004031,2026-02-18 09:29:00,fraud,pending
CB0004076,T0004076,2026-06-13 00:41:00,product_not_received,lost
CB0004087,T0004087,2026-06-24 08:07:00,fraud,pending
CB0004097,T0004097,2026-02-01 16:23:00,duplicate,lost
CB0004154,T0004154,2026-03-09 10:53:00,fraud,lost
CB0004176,T0004176,2026-03-14 00:35:00,credit_not_processed,won
CB0004211,T0004211,2026-05-02 15:47:00,credit_not_processed,pending
CB0004214,T0004214,2026-06-05 21:53:00,product_not_received,won
CB0004270,T0004270,2026-03-21 00:14:00,duplicate,pending
CB0004277,T0004277,2026-02-21 00:26:00,product_not_received,lost
CB0004283,T0004283,2026-07-28 19:08:00,credit_not_processed,won
CB0004315,T0004315,2026-02-15 00:41:00,duplicate,pending
CB0004359,T0004359,2026-07-22 17:37:00,credit_not_processed,pending
CB0004395,T0004395,2026-01-22 13:01:00,product_not_received,won
CB0004423,T0004423,2026-04-22 18:02:00,product_not_received,won
CB0004434,T0004434,2026-03-13 01:02:00,duplicate,lost
