customer_id,address_id,relationship,source
C00001,A00237,billing,baseline
C00002,A00617,billing,baseline
C00003,A00073,billing,baseline
C00004,A00699,billing,baseline
C00005,A00691,billing,baseline
C00006,A00327,billing,baseline
C00007,A00479,billing,baseline
C00008,A00481,billing,baseline
C00009,A00384,billing,baseline
C00010,A00565,billing,baseline
C00011,A00675,billing,baseline
C00012,A00410,billing,baseline
C00013,A00468,billing,baseline
C00014,A00425,billing,baseline
C00015,A00244,billing,baseline
C00016,A00334,billing,baseline
C00017,A00626,billing,baseline
C00018,A00368,billing,baseline
C00019,A00167,billing,baseline
C00020,A00345,billing,baseline
C00021,A00194,billing,baseline
C00022,A00628,billing,baseline
C00023,A00099,billing,baseline
C00024,A00676,billing,baseline
C00025,A00102,billing,baseline
C00026,A00510,billing,baseline
C00027,A00689,billing,baseline
C00028,A00440,billing,baseline
C00029,A00365,billing,baseline
C00030,A00344,billing,baseline
C00031,A00504,billing,baseline
C00032,A00146,billing,baseline
C00033,A00138,billing,baseline
C00034,A00499,billing,baseline
C00035,A00478,billing,baseline
C00036,A00204,billing,baseline
C00037,A00559,billing,baseline
C00038,A00083,billing,baseline
C00039,A00539,billing,baseline
C00040,A00362,billing,baseline
C00041,A00699,billing,baseline
C00042,A00123,billing,baseline
C00043,A00452,billing,baseline
C00044,A00434,billing,baseline
C00045,A00510,billing,baseline
C00046,A00314,billing,baseline
C00047,A00108,billing,baseline
C00048,A00516,billing,baseline
C00049,A00247,billing,baseline
C00050,A00343,billing,baseline
C00051,A00690,billing,baseline
C00052,A00546,billing,baseline
C00053,A00020,billing,baseline
C00054,A00305,billing,baseline
C00055,A00095,billing,baseline
C00056,A00133,billing,baseline
C00057,A00312,billing,baseline
C00058,A00025,billing,baseline
C00059,A00047,billing,baseline
C00060,A00433,billing,baseline
C00061,A00564,billing,baseline
C00062,A00657,billing,baseline
C00063,A00066,billing,baseline
C00064,A00588,billing,baseline
C00065,A00012,billing,baseline
C00066,A00022,billing,baseline
C00067,A00319,billing,baseline
C00068,A00210,billing,baseline
C00069,A00107,billing,baseline
C00070,A00068,billing,baseline
C00071,A00302,billing,baseline
C00072,A00013,billing,baseline
C00073,A00125,billing,baseline
C00074,A00342,billing,baseline
C00075,A00137,billing,baseline
C00076,A00151,billing,baseline
C00077,A00612,billing,baseline
C00078,A00710,billing,baseline
C00079,A00088,billing,baseline
C00080,A00079,billing,baseline
C00081,A00615,billing,baseline
C00082,A00568,billing,baseline
C00083,A00465,billing,baseline
C00084,A00449,billing,baseline
C00085,A00223,billing,baseline
C00086,A00673,billing,baseline
C00087,A00219,billing,baseline
C00088,A00588,billing,baseline
C00089,A00659,billing,baseline
C00090,A00519,billing,baseline
C00091,A00282,billing,baseline
C00092,A00259,billing,baseline
C00093,A00514,billing,baseline
C00094,A00087,billing,baseline
C00095,A00229,billing,baseline
C00096,A00569,billing,baseline
C00097,A00593,billing,baseline
C00098,A00694,billing,baseline
C00099,A00649,billing,baseline
C00100,A00497,billing,baseline
C00101,A00635,billing,baseline
C00102,A00109,billing,baseline
C00103,A00245,billing,baseline
C00104,A00034,billing,baseline
C00105,A00314,billing,baseline
C00106,A00598,billing,baseline
C00107,A00691,billing,baseline
C00108,A00032,billing,baseline
C00109,A00322,billing,baseline
C00110,A00009,billing,baseline
C00111,A00480,billing,baseline
C00112,A00202,billing,baseline
C00113,A00286,billing,baseline
C00114,A00355,billing,baseline
C00115,A00357,billing,baseline
C00116,A00690,billing,baseline
