customer_id,device_id,first_used,last_used,usage_frequency,source
C00001,D04732,2025-01-01,2026-08-01,18,baseline
C00002,D00579,2025-01-01,2026-08-01,4,baseline
C00003,D02665,2025-01-01,2026-08-01,19,baseline
C00004,D01301,2025-01-01,2026-08-01,5,baseline
C00005,D04223,2025-01-01,2026-08-01,20,baseline
C00006,D03678,2025-01-01,2026-08-01,1,baseline
C00007,D03538,2025-01-01,2026-08-01,5,baseline
C00008,D02087,2025-01-01,2026-08-01,9,baseline
C00009,D00578,2025-01-01,2026-08-01,13,baseline
C00010,D03371,2025-01-01,2026-08-01,3,baseline
C00011,D04002,2025-01-01,2026-08-01,1,baseline
C00012,D02144,2025-01-01,2026-08-01,1,baseline
C00013,D02307,2025-01-01,2026-08-01,20,baseline
C00014,D04268,2025-01-01,2026-08-01,11,baseline
C00015,D00999,2025-01-01,2026-08-01,11,baseline
C00016,D01138,2025-01-01,2026-08-01,15,baseline
C00017,D01983,2025-01-01,2026-08-01,19,baseline
C00018,D04962,2025-01-01,2026-08-01,4,baseline
C00019,D00830,2025-01-01,2026-08-01,13,baseline
C00020,D02273,2025-01-01,2026-08-01,11,baseline
C00021,D02303,2025-01-01,2026-08-01,18,baseline
C00022,D03361,2025-01-01,2026-08-01,5,baseline
C00023,D04736,2025-01-01,2026-08-01,11,baseline
C00024,D04053,2025-01-01,2026-08-01,20,baseline
C00025,D04100,2025-01-01,2026-08-01,13,baseline
C00026,D03680,2025-01-01,2026-08-01,6,baseline
C00027,D00498,2025-01-01,2026-08-01,20,baseline
C00028,D01558,2025-01-01,2026-08-01,8,baseline
C00029,D01216,2025-01-01,2026-08-01,2,baseline
C00030,D04481,2025-01-01,2026-08-01,6,baseline
C00031,D00110,2025-01-01,2026-08-01,11,baseline
C00032,D04180,2025-01-01,2026-08-01,10,baseline
C00033,D01325,2025-01-01,2026-08-01,18,baseline
C00034,D01693,2025-01-01,2026-08-01,9,baseline
C00035,D03838,2025-01-01,2026-08-01,17,baseline
C00036,D03662,2025-01-01,2026-08-01,11,baseline
C00037,D01831,2025-01-01,2026-08-01,5,baseline
C00038,D03085,2025-01-01,2026-08-01,3,baseline
C00039,D01719,2025-01-01,2026-08-01,18,baseline
C00040,D00926,2025-01-01,2026-08-01,4,baseline
C00041,D03383,2025-01-01,2026-08-01,6,baseline
C00042,D02618,2025-01-01,2026-08-01,2,baseline
C00043,D03048,2025-01-01,2026-08-01,11,baseline
C00044,D01985,2025-01-01,2026-08-01,2,baseline
C00045,D04807,2025-01-01,2026-08-01,20,baseline
C00046,D01414,2025-01-01,2026-08-01,20,baseline
C00047,D01476,2025-01-01,2026-08-01,14,baseline
C00048,D04082,2025-01-01,2026-08-01,16,baseline
C00049,D03891,2025-01-01,2026-08-01,1,baseline
C00050,D02389,2025-01-01,2026-08-01,11,baseline
C00051,D01430,2025-01-01,2026-08-01,3,baseline
C00052,D02944,2025-01-01,2026-08-01,11,baseline
C00053,D03974,2025-01-01,2026-08-01,9,baseline
C00054,D00902,2025-01-01,2026-08-01,13,baseline
C00055,D00844,2025-01-01,2026-08-01,19,baseline
C00056,D03974,2025-01-01,2026-08-01,12,baseline
C00057,D02495,2025-01-01,2026-08-01,4,baseline
C00058,D00126,2025-01-01,2026-08-01,9,baseline
C00059,D02165,2025-01-01,2026-08-01,19,baseline
C00060,D03562,2025-01-01,2026-08-01,11,baseline
C00061,D04071,2025-01-01,2026-08-01,17,baseline
C00062,D04989,2025-01-01,2026-08-01,5,baseline
C00063,D00460,2025-01-01,2026-08-01,20,baseline
C00064,D04285,2025-01-01,2026-08-01,13,baseline
C00065,D03303,2025-01-01,2026-08-01,3,baseline
C00066,D04327,2025-01-01,2026-08-01,15,baseline
C00067,D00110,2025-01-01,2026-08-01,15,baseline
C00068,D04541,2025-01-01,2026-08-01,20,baseline
C00069,D00110,2025-01-01,2026-08-01,14,baseline
C00070,D04509,2025-01-01,2026-08-01,2,baseline
C00071,D00265,2025-01-01,2026-08-01,7,baseline
C00072,D03061,2025-01-01,2026-08-01,12,baseline
C00073,D03807,2025-01-01,2026-08-01,15,baseline
C00074,D01521,2025-01-01,2026-08-01,4,baseline
C00075,D01601,2025-01-01,2026-08-01,12,baseline
C00076,D02103,2025-01-01,2026-08-01,9,baseline
C00077,D02912,2025-01-01,2026-08-01,1,baseline
C00078,D03560,2025-01-01,2026-08-01,11,baseline
C00079,D03740,2025-01-01,2026-08-01,17,baseline
C00080,D04731,2025-01-01,2026-08-01,4,baseline
C00081,D03043,2025-01-01,2026-08-01,20,baseline
C00082,D04386,2025-01-01,2026-08-01,19,baseline
C00083,D04024,2025-01-01,2026-08-01,12,baseline
C00084,D02519,2025-01-01,2026-08-01,5,baseline
C00085,D04098,2025-01-01,2026-08-01,1,baseline
C00086,D02423,2025-01-01,2026-08-01,5,baseline
C00087,D00936,2025-01-01,2026-08-01,6,baseline
C00088,D01573,2025-01-01,2026-08-01,16,baseline
C00089,D03388,2025-01-01,2026-08-01,1,baseline
C00090,D00870,2025-01-01,2026-08-01,10,baseline
C00091,D01529,2025-01-01,2026-08-01,8,baseline
C00092,D02001,2025-01-01,2026-08-01,5,baseline
C00093,D02361,2025-01-01,2026-08-01,5,baseline
C00094,D02164,2025-01-01,2026-08-01,4,baseline
C00095,D04820,2025-01-01,2026-08-01,7,baseline
C00096,D02688,2025-01-01,2026-08-01,8,baseline
C00097,D02390,2025-01-01,2026-08-01,7,baseline
C00098,D03961,2025-01-01,2026-08-01,3,baseline
C00099,D02489,2025-01-01,2026-08-01,14,baseline
C00100,D00096,2025-01-01,2026-08-01,20,baseline
C00101,D01997,2025-01-01,2026-08-01,11,baseline
C00102,D02207,2025-01-01,2026-08-01,20,baseline
C00103,D01707,2025-01-01,2026-08-01,7,baseline
C00104,D00796,2025-01-01,2026-08-01,8,baseline
C00105,D01599,2025-01-01,2026-08-01,13,baseline
C00106,D02915,2025-01-01,2026-08-01,16,baseline
C00107,D00432,2025-01-01,2026-08-01,15,baseline
C00108,D00727,2025-01-01,2026-08-01,3,baseline
C00109,D03382,2025-01-01,2026-08-01,16,baseline
C00110,D01435,2025-01-01,2026-08-01,8,baseline
C00111,D03502,2025-01-01,2026-08-01,12,baseline
C00112,D01087,2025-01-01,2026-08-01,13,baseline
C00113,D00215,2025-01-01,2026-08-01,4,baseline
C00114,D00636,2025-01-01,2026-08-01,17,baseline
C00115,D01548,2025-01-01,2026-08-01,2,baseline
C00116,D04291,2025-01-01,2026-08-01,15,baseline
C00117,D02249,2025-01-01,2026-08-01,6,baseline
C00118,D01730,2025-01-01,2026-08-01,10,baseline
C00119,D02903,2025-01-01,2026-08-01,10,baseline
C00120,D02931,2025-01-01,2026-08-01,12,baseline
C00121,D02726,2025-01-01,2026-08-01,13,baseline
C00122,D01843,2025-01-01,2026-08-01,6,baseline
C00123,D04990,2025-01-01,2026-08-01,19,baseline
C00124,D04485,2025-01-01,2026-08-01,3,baseline
C00125,D04153,2025-01-01,2026-08-01,1,baseline
C00126,D00559,2025-01-01,2026-08-01,19,baseline
C00127,D03837,2025-01-01,2026-08-01,16,baseline
C00128,D00657,2025-01-01,2026-08-01,19,baseline
C00129,D01532,2025-01-01,2026-08-01,16,baseline
C00130,D00948,2025-01-01,2026-08-01,15,baseline
