customer_id,instrument_id,first_used,last_used,source
C00001,P04036,2025-01-01,2026-08-01,baseline
C00002,P02616,2025-01-01,2026-08-01,baseline
C00003,P08250,2025-01-01,2026-08-01,baseline
C00004,P01402,2025-01-01,2026-08-01,baseline
C00005,P08781,2025-01-01,2026-08-01,baseline
C00006,P01802,2025-01-01,2026-08-01,baseline
C00007,P04770,2025-01-01,2026-08-01,baseline
C00008,P05634,2025-01-01,2026-08-01,baseline
C00009,P09967,2025-01-01,2026-08-01,baseline
C00010,P03526,2025-01-01,2026-08-01,baseline
C00011,P03993,2025-01-01,2026-08-01,baseline
C00012,P08868,2025-01-01,2026-08-01,baseline
C00013,P07781,2025-01-01,2026-08-01,baseline
C00014,P03683,2025-01-01,2026-08-01,baseline
C00015,P00728,2025-01-01,2026-08-01,baseline
C00016,P04774,2025-01-01,2026-08-01,baseline
C00017,P03995,2025-01-01,2026-08-01,baseline
C00018,P09218,2025-01-01,2026-08-01,baseline
C00019,P05774,2025-01-01,2026-08-01,baseline
C00020,P09694,2025-01-01,2026-08-01,baseline
C00021,P00390,2025-01-01,2026-08-01,baseline
C00022,P00898,2025-01-01,2026-08-01,baseline
C00023,P02149,2025-01-01,2026-08-01,baseline
C00024,P05479,2025-01-01,2026-08-01,baseline
C00025,P00975,2025-01-01,2026-08-01,baseline
C00026,P05797,2025-01-01,2026-08-01,baseline
C00027,P03114,2025-01-01,2026-08-01,baseline
C00028,P00353,2025-01-01,2026-08-01,baseline
C00029,P06841,2025-01-01,2026-08-01,baseline
C00030,P02335,2025-01-01,2026-08-01,baseline
C00031,P03518,2025-01-01,2026-08-01,baseline
C00032,P05518,2025-01-01,2026-08-01,baseline
C00033,P01827,2025-01-01,2026-08-01,baseline
C00034,P09388,2025-01-01,2026-08-01,baseline
C00035,P05191,2025-01-01,2026-08-01,baseline
C00036,P02454,2025-01-01,2026-08-01,baseline
C00037,P06181,2025-01-01,2026-08-01,baseline
C00038,P00531,2025-01-01,2026-08-01,baseline
C00039,P02548,2025-01-01,2026-08-01,baseline
C00040,P08593,2025-01-01,2026-08-01,baseline
C00041,P00123,2025-01-01,2026-08-01,baseline
C00042,P02101,2025-01-01,2026-08-01,baseline
C00043,P01079,2025-01-01,2026-08-01,baseline
C00044,P09238,2025-01-01,2026-08-01,baseline
C00045,P06426,2025-01-01,2026-08-01,baseline
C00046,P04869,2025-01-01,2026-08-01,baseline
C00047,P04764,2025-01-01,2026-08-01,baseline
C00048,P00272,2025-01-01,2026-08-01,baseline
C00049,P03584,2025-01-01,2026-08-01,baseline
C00050,P06191,2025-01-01,2026-08-01,baseline
C00051,P05833,2025-01-01,2026-08-01,baseline
C00052,P02240,2025-01-01,2026-08-01,baseline
C00053,P02511,2025-01-01,2026-08-01,baseline
C00054,P09334,2025-01-01,2026-08-01,baseline
C00055,P05845,2025-01-01,2026-08-01,baseline
C00056,P09295,2025-01-01,2026-08-01,baseline
C00057,P09307,2025-01-01,2026-08-01,baseline
C00058,P05288,2025-01-01,2026-08-01,baseline
C00059,P00805,2025-01-01,2026-08-01,baseline
C00060,P04933,2025-01-01,2026-08-01,baseline
C00061,P02401,2025-01-01,2026-08-01,baseline
C00062,P04928,2025-01-01,2026-08-01,baseline
C00063,P08222,2025-01-01,2026-08-01,baseline
C00064,P07005,2025-01-01,2026-08-01,baseline
C00065,P01770,2025-01-01,2026-08-01,baseline
C00066,P00942,2025-01-01,2026-08-01,baseline
C00067,P04415,2025-01-01,2026-08-01,baseline
C00068,P00208,2025-01-01,2026-08-01,baseline
C00069,P01498,2025-01-01,2026-08-01,baseline
C00070,P02505,2025-01-01,2026-08-01,baseline
C00071,P01883,2025-01-01,2026-08-01,baseline
C00072,P07078,2025-01-01,2026-08-01,baseline
C00073,P05194,2025-01-01,2026-08-01,baseline
C00074,P06732,2025-01-01,2026-08-01,baseline
C00075,P02578,2025-01-01,2026-08-01,baseline
C00076,P04935,2025-01-01,2026-08-01,baseline
C00077,P07383,2025-01-01,2026-08-01,baseline
C00078,P05023,2025-01-01,2026-08-01,baseline
C00079,P08391,2025-01-01,2026-08-01,baseline
C00080,P05188,2025-01-01,2026-08-01,baseline
C00081,P03951,2025-01-01,2026-08-01,baseline
C00082,P07640,2025-01-01,2026-08-01,baseline
C00083,P01926,2025-01-01,2026-08-01,baseline
C00084,P05229,2025-01-01,2026-08-01,baseline
C00085,P08147,2025-01-01,2026-08-01,baseline
C00086,P02600,2025-01-01,2026-08-01,baseline
C00087,P00021,2025-01-01,2026-08-01,baseline
C00088,P03498,2025-01-01,2026-08-01,baseline
C00089,P00182,2025-01-01,2026-08-01,baseline
C00090,P05277,2025-01-01,2026-08-01,baseline
C00091,P02898,2025-01-01,2026-08-01,baseline
C00092,P01789,2025-01-01,2026-08-01,baseline
C00093,P00555,2025-01-01,2026-08-01,baseline
C00094,P07987,2025-01-01,2026-08-01,baseline
C00095,P09383,2025-01-01,2026-08-01,baseline
C00096,P08373,2025-01-01,2026-08-01,baseline
C00097,P00245,2025-01-01,2026-08-01,baseline
C00098,P08366,2025-01-01,2026-08-01,baseline
C00099,P07063,2025-01-01,2026-08-01,baseline
C00100,P00418,2025-01-01,2026-08-01,baseline
C00101,P01804,2025-01-01,2026-08-01,baseline
C00102,P00833,2025-01-01,2026-08-01,baseline
C00103,P03812,2025-01-01,2026-08-01,baseline
C00104,P09326,2025-01-01,2026-08-01,baseline
C00105,P00584,2025-01-01,2026-08-01,baseline
C00106,P02430,2025-01-01,2026-08-01,baseline
C00107,P03302,2025-01-01,2026-08-01,baseline
C00108,P05919,2025-01-01,2026-08-01,baseline
C00109,P06760,2025-01-01,2026-08-01,baseline
C00110,P08239,2025-01-01,2026-08-01,baseline
C00111,P08716,2025-01-01,2026-08-01,baseline
C00112,P03839,2025-01-01,2026-08-01,baseline
C00113,P06171,2025-01-01,2026-08-01,baseline
C00114,P00928,2025-01-01,2026-08-01,baseline
C00115,P03526,2025-01-01,2026-08-01,baseline
C00116,P09515,2025-01-01,2026-08-01,baseline
C00117,P06519,2025-01-01,2026-08-01,baseline
C00118,P00126,2025-01-01,2026-08-01,baseline
C00119,P08079,2025-01-01,2026-08-01,baseline
C00120,P01192,2025-01-01,2026-08-01,baseline
C00121,P08522,2025-01-01,2026-08-01,baseline
C00122,P03071,2025-01-01,2026-08-01,baseline
C00123,P01184,2025-01-01,2026-08-01,baseline
C00124,P02670,2025-01-01,2026-08-01,baseline
C00125,P09971,2025-01-01,2026-08-01,baseline
C00126,P01385,2025-01-01,2026-08-01,baseline
C00127,P00471,2025-01-01,2026-08-01,baseline
C00128,P08619,2025-01-01,2026-08-01,baseline
C00129,P07587,2025-01-01,2026-08-01,baseline
C00130,P09679,2025-01-01,2026-08-01,baseline
C00131,P08132,2025-01-01,2026-08-01,baseline
C00132,P09192,2025-01-01,2026-08-01,baseline
C00133,P07158,2025-01-01,2026-08-01,baseline
C00134,P01315,2025-01-01,2026-08-01,baseline
C00135,P04635,2025-01-01,2026-08-01,baseline
C00136,P01776,2025-01-01,2026-08-01,baseline
C00137,P05898,2025-01-01,2026-08-01,baseline
C00138,P03512,2025-01-01,2026-08-01,baseline
C00139,P09831,2025-01-01,2026-08-01,baseline
C00140,P04801,2025-01-01,2026-08-01,baseline
C00141,P03534,2025-01-01,2026-08-01,baseline
C00142,P01908,2025-01-01,2026-08-01,baseline
C00143,P01554,2025-01-01,2026-08-01,baseline
C00144,P05998,2025-01-01,2026-08-01,baseline
C00145,P04469,2025-01-01,2026-08-01,baseline
C00146,P07331,2025-01-01,2026-08-01,baseline
C00147,P02721,2025-01-01,2026-08-01,baseline
C00148,P00572,2025-01-01,2026-08-01,baseline
C00149,P04991,2025-01-01,2026-08-01,baseline
C00150,P03239,2025-01-01,2026-08-01,baseline
C00151,P04337,2025-01-01,2026-08-01,baseline
C00152,P02345,2025-01-01,2026-08-01,baseline
C00153,P00908,2025-01-01,2026-08-01,baseline
C00154,P07075,2025-01-01,2026-08-01,baseline
C00155,P04585,2025-01-01,2026-08-01,baseline
C00156,P02914,2025-01-01,2026-08-01,baseline
C00157,P03897,2025-01-01,2026-08-01,baseline
C00158,P06919,2025-01-01,2026-08-01,baseline
C00159,P02509,2025-01-01,2026-08-01,baseline
C00160,P07388,2025-01-01,2026-08-01,baseline
C00161,P09540,2025-01-01,2026-08-01,baseline
C00162,P03672,2025-01-01,2026-08-01,baseline
C00163,P00534,2025-01-01,2026-08-01,baseline
C00164,P05715,2025-01-01,2026-08-01,baseline
C00165,P03577,2025-01-01,2026-08-01,baseline
C00166,P03023,2025-01-01,2026-08-01,baseline
C00167,P07211,2025-01-01,2026-08-01,baseline
C00168,P05753,2025-01-01,2026-08-01,baseline
C00169,P02479,2025-01-01,2026-08-01,baseline
C00170,P01427,2025-01-01,2026-08-01,baseline
C00171,P04850,2025-01-01,2026-08-01,baseline
C00172,P03909,2025-01-01,2026-08-01,baseline
C00173,P05380,2025-01-01,2026-08-01,baseline
C00174,P01435,2025-01-01,2026-08-01,baseline
C00175,P07907,2025-01-01,2026-08-01,baseline
C00176,P00431,2025-01-01,2026-08-01,baseline
C00177,P00472,2025-01-01,2026-08-01,baseline
C00178,P08773,2025-01-01,2026-08-01,baseline
C00179,P08763,2025-01-01,2026-08-01,baseline
C00180,P03750,2025-01-01,2026-08-01,baseline
C00181,P07204,2025-01-01,2026-08-01,baseline
C00182,P01739,2025-01-01,2026-08-01,baseline
C00183,P03106,2025-01-01,2026-08-01,baseline
C00184,P09069,2025-01-01,2026-08-01,baseline
C00185,P09708,2025-01-01,2026-08-01,baseline
C00186,P04762,2025-01-01,2026-08-01,baseline
C00187,P04148,2025-01-01,2026-08-01,baseline
C00188,P05197,2025-01-01,2026-08-01,baseline
C00189,P02508,2025-01-01,2026-08-01,baseline
C00190,P07987,2025-01-01,2026-08-01,baseline
C00191,P06534,2025-01-01,2026-08-01,baseline
C00192,P07382,2025-01-01,2026-08-01,baseline
C00193,P00820,2025-01-01,2026-08-01,baseline
C00194,P01960,2025-01-01,2026-08-01,baseline
C00195,P00680,2025-01-01,2026-08-01,baseline
C00196,P01344,2025-01-01,2026-08-01,baseline
C00197,P01663,2025-01-01,2026-08-01,baseline
C00198,P04916,2025-01-01,2026-08-01,baseline
C00199,P08134,2025-01-01,2026-08-01,baseline
C00200,P03772,2025-01-01,2026-08-01,baseline
C00201,P08363,2025-01-01,2026-08-01,baseline
C00202,P02223,2025-01-01,2026-08-01,baseline
C00203,P00062,2025-01-01,2026-08-01,baseline
C00204,P08186,2025-01-01,2026-08-01,baseline
C00205,P07915,2025-01-01,2026-08-01,baseline
C00206,P06820,2025-01-01,2026-08-01,baseline
C00207,P06930,2025-01-01,2026-08-01,baseline
C00208,P05170,2025-01-01,2026-08-01,baseline
C00209,P00849,2025-01-01,2026-08-01,baseline
C00210,P01833,2025-01-01,2026-08-01,baseline
C00211,P08123,2025-01-01,2026-08-01,baseline
C00212,P04198,2025-01-01,2026-08-01,baseline
C00213,P06304,2025-01-01,2026-08-01,baseline
C00214,P04367,2025-01-01,2026-08-01,baseline
C00215,P09002,2025-01-01,2026-08-01,baseline
C00216,P04702,2025-01-01,2026-08-01,baseline
C00217,P02232,2025-01-01,2026-08-01,baseline
C00218,P00955,2025-01-01,2026-08-01,baseline
C00219,P08309,2025-01-01,2026-08-01,baseline
C00220,P04775,2025-01-01,2026-08-01,baseline
C00221,P08226,2025-01-01,2026-08-01,baseline
C00222,P04800,2025-01-01,2026-08-01,baseline
C00223,P02821,2025-01-01,2026-08-01,baseline
C00224,P02909,2025-01-01,2026-08-01,baseline
C00225,P06908,2025-01-01,2026-08-01,baseline
C00226,P01780,2025-01-01,2026-08-01,baseline
C00227,P02818,2025-01-01,2026-08-01,baseline
C00228,P01505,2025-01-01,2026-08-01,baseline
