customer_id,signup_date,kyc_status,home_address_id,label,ring_id
C00001,2026-04-13,verified,A00237,NORMAL,
C00002,2025-03-22,verified,A00617,NORMAL,
C00003,2026-01-12,verified,A00073,NORMAL,
C00004,2025-03-24,verified,A00699,NORMAL,
C00005,2026-08-16,verified,A00691,NORMAL,
C00006,2025-03-24,verified,A00327,NORMAL,
C00007,2025-09-13,verified,A00479,NORMAL,
C00008,2025-02-28,verified,A00481,LEGITIMATE_SHARED_RESOURCE,
C00009,2025-01-04,verified,A00384,NORMAL,
C00010,2025-01-07,verified,A00565,LEGITIMATE_SHARED_RESOURCE,
C00011,2025-11-01,verified,A00675,NORMAL,
C00012,2026-08-15,verified,A00410,NORMAL,
C00013,2025-07-22,verified,A00468,NORMAL,
C00014,2026-01-22,verified,A00425,NORMAL,
C00015,2025-05-09,verified,A00244,NORMAL,
C00016,2026-07-14,pending,A00334,NORMAL,
C00017,2026-08-16,verified,A00626,LEGITIMATE_SHARED_RESOURCE,
C00018,2025-09-21,verified,A00368,ABUSE_RING,R0107
C00019,2025-10-12,verified,A00167,NORMAL,
C00020,2026-01-15,verified,A00345,ABUSE_RING,R0084
C00021,2025-04-14,verified,A00194,ABUSE_RING,R0012
C00022,2025-02-05,verified,A00628,NORMAL,
C00023,2025-03-10,verified,A00099,NORMAL,
C00024,2026-08-19,verified,A00676,NORMAL,
C00025,2025-12-29,verified,A00102,NORMAL,
C00026,2025-01-27,verified,A00510,NORMAL,
C00027,2025-11-13,verified,A00689,LEGITIMATE_SHARED_RESOURCE,
C00028,2025-08-24,pending,A00440,NORMAL,
C00029,2025-08-23,verified,A00365,NORMAL,
C00030,2025-01-11,pending,A00344,NORMAL,
C00031,2025-02-01,verified,A00504,NORMAL,
C00032,2025-09-01,verified,A00146,NORMAL,
C00033,2025-05-25,verified,A00138,NORMAL,
C00034,2026-03-06,verified,A00499,NORMAL,
C00035,2026-05-30,verified,A00478,NORMAL,
C00036,2025-02-10,pending,A00204,LEGITIMATE_SHARED_RESOURCE,
C00037,2025-06-26,verified,A00559,NORMAL,
C00038,2025-04-25,verified,A00083,NORMAL,
C00039,2026-03-28,verified,A00539,LEGITIMATE_SHARED_RESOURCE,
C00040,2026-08-07,verified,A00362,NORMAL,
C00041,2025-11-11,verified,A00699,NORMAL,
C00042,2025-11-24,verified,A00123,ABUSE_RING,R0093
C00043,2025-03-14,pending,A00452,NORMAL,
C00044,2025-11-21,pending,A00434,NORMAL,
C00045,2025-09-08,verified,A00510,NORMAL,
C00046,2025-08-11,verified,A00314,NORMAL,
C00047,2025-07-30,verified,A00108,NORMAL,
C00048,2025-01-17,pending,A00516,LEGITIMATE_SHARED_RESOURCE,
C00049,2026-02-17,verified,A00247,NORMAL,
C00050,2025-02-25,verified,A00343,NORMAL,
C00051,2026-08-19,verified,A00690,NORMAL,
C00052,2025-01-27,verified,A00546,NORMAL,
C00053,2025-04-08,verified,A00020,NORMAL,
C00054,2025-09-07,verified,A00305,NORMAL,
C00055,2026-07-15,pending,A00095,NORMAL,
C00056,2025-02-08,pending,A00133,ABUSE_RING,R0021
C00057,2025-03-11,verified,A00312,LEGITIMATE_SHARED_RESOURCE,
C00058,2025-03-19,verified,A00025,NORMAL,
C00059,2026-07-12,verified,A00047,LEGITIMATE_SHARED_RESOURCE,
C00060,2025-05-18,verified,A00433,LEGITIMATE_SHARED_RESOURCE,
C00061,2025-03-06,verified,A00564,NORMAL,
C00062,2026-04-27,verified,A00657,LEGITIMATE_SHARED_RESOURCE,
C00063,2025-07-16,verified,A00066,LEGITIMATE_SHARED_RESOURCE,
C00064,2025-10-16,verified,A00588,LEGITIMATE_SHARED_RESOURCE,
C00065,2026-05-05,verified,A00012,NORMAL,
C00066,2025-08-03,verified,A00022,NORMAL,
C00067,2025-10-14,verified,A00319,NORMAL,
C00068,2026-05-23,verified,A00210,NORMAL,
C00069,2025-11-11,verified,A00107,NORMAL,
C00070,2025-02-14,verified,A00068,NORMAL,
C00071,2025-02-16,verified,A00302,NORMAL,
C00072,2026-02-09,verified,A00013,ABUSE_RING,R0002
C00073,2025-10-27,verified,A00125,NORMAL,
C00074,2025-08-29,verified,A00342,NORMAL,
C00075,2026-04-12,verified,A00137,NORMAL,
C00076,2025-02-18,verified,A00151,NORMAL,
C00077,2025-05-11,verified,A00612,NORMAL,
C00078,2026-01-01,verified,A00710,NORMAL,
C00079,2026-04-21,verified,A00088,NORMAL,
C00080,2026-05-16,verified,A00079,NORMAL,
C00081,2026-06-20,verified,A00615,LEGITIMATE_SHARED_RESOURCE,
C00082,2026-07-27,pending,A00568,NORMAL,
C00083,2026-05-24,verified,A00465,LEGITIMATE_SHARED_RESOURCE,
C00084,2026-05-18,verified,A00449,NORMAL,
C00085,2026-01-15,verified,A00223,NORMAL,
C00086,2026-05-28,verified,A00673,LEGITIMATE_SHARED_RESOURCE,
C00087,2025-03-20,verified,A00219,LEGITIMATE_SHARED_RESOURCE,
C00088,2026-07-04,verified,A00588,NORMAL,
C00089,2025-08-17,verified,A00659,LEGITIMATE_SHARED_RESOURCE,
C00090,2025-06-14,verified,A00519,NORMAL,
C00091,2026-05-03,verified,A00282,NORMAL,
C00092,2026-01-05,verified,A00259,LEGITIMATE_SHARED_RESOURCE,
C00093,2025-11-23,verified,A00514,NORMAL,
C00094,2026-02-24,pending,A00087,ABUSE_RING,R0109
C00095,2026-04-13,verified,A00229,NORMAL,
C00096,2025-10-15,verified,A00569,LEGITIMATE_SHARED_RESOURCE,
C00097,2025-02-01,verified,A00593,ABUSE_RING,R0002
C00098,2026-02-17,verified,A00694,NORMAL,
C00099,2025-02-11,verified,A00649,LEGITIMATE_SHARED_RESOURCE,
C00100,2025-04-20,verified,A00497,LEGITIMATE_SHARED_RESOURCE,
C00101,2025-11-23,verified,A00635,LEGITIMATE_SHARED_RESOURCE,
C00102,2025-07-17,pending,A00109,NORMAL,
C00103,2026-07-07,verified,A00245,NORMAL,
C00104,2026-02-05,verified,A00034,NORMAL,
C00105,2026-01-06,pending,A00314,NORMAL,
C00106,2025-07-15,verified,A00598,NORMAL,
C00107,2025-07-07,verified,A00691,NORMAL,
C00108,2026-08-01,verified,A00032,NORMAL,
C00109,2026-02-25,verified,A00322,LEGITIMATE_SHARED_RESOURCE,
C00110,2026-03-07,verified,A00009,NORMAL,
C00111,2025-05-24,pending,A00480,NORMAL,
C00112,2025-03-18,verified,A00202,NORMAL,
C00113,2026-04-15,verified,A00286,NORMAL,
C00114,2025-07-10,verified,A00355,ABUSE_RING,R0071
C00115,2026-01-03,verified,A00357,NORMAL,
C00116,2025-12-11,verified,A00690,LEGITIMATE_SHARED_RESOURCE,
C00117,2025-11-24,verified,A00037,NORMAL,
C00118,2026-04-06,verified,A00529,NORMAL,
C00119,2026-02-28,verified,A00516,LEGITIMATE_SHARED_RESOURCE,
C00120,2026-06-23,verified,A00602,NORMAL,
C00121,2025-06-18,verified,A00139,NORMAL,
C00122,2025-04-19,verified,A00033,NORMAL,
C00123,2025-02-09,verified,A00144,NORMAL,
C00124,2025-01-10,pending,A00023,LEGITIMATE_SHARED_RESOURCE,
C00125,2025-11-14,verified,A00070,NORMAL,
C00126,2025-05-08,verified,A00303,NORMAL,
C00127,2026-02-17,verified,A00455,LEGITIMATE_SHARED_RESOURCE,
C00128,2026-01-11,verified,A00551,NORMAL,
C00129,2025-01-16,verified,A00287,NORMAL,
C00130,2025-04-08,pending,A00024,LEGITIMATE_SHARED_RESOURCE,
C00131,2025-11-15,verified,A00419,MIXED,
C00132,2026-05-11,verified,A00429,NORMAL,
C00133,2025-09-21,pending,A00153,LEGITIMATE_SHARED_RESOURCE,
C00134,2026-03-20,verified,A00300,NORMAL,
C00135,2025-11-04,verified,A00510,NORMAL,
C00136,2025-03-02,verified,A00577,NORMAL,
C00137,2026-07-16,verified,A00085,NORMAL,
C00138,2025-04-28,verified,A00121,NORMAL,
C00139,2026-05-30,verified,A00015,NORMAL,
C00140,2025-08-25,verified,A00335,LEGITIMATE_SHARED_RESOURCE,
C00141,2026-04-20,verified,A00710,NORMAL,
C00142,2025-10-20,verified,A00230,NORMAL,
C00143,2025-01-30,verified,A00138,NORMAL,
C00144,2025-11-12,verified,A00676,NORMAL,
C00145,2026-03-10,verified,A00580,LEGITIMATE_SHARED_RESOURCE,
C00146,2026-05-10,verified,A00263,NORMAL,
C00147,2025-03-03,verified,A00655,NORMAL,
C00148,2025-02-28,verified,A00234,NORMAL,
C00149,2026-06-10,pending,A00476,NORMAL,
C00150,2026-03-29,verified,A00513,LEGITIMATE_SHARED_RESOURCE,
C00151,2026-08-11,verified,A00414,LEGITIMATE_SHARED_RESOURCE,
C00152,2026-08-11,verified,A00479,ABUSE_RING,R0032
C00153,2025-01-23,verified,A00541,NORMAL,
C00154,2025-05-05,verified,A00697,NORMAL,
C00155,2025-07-16,verified,A00524,NORMAL,
