device_id,device_fingerprint,first_seen_date
D00001,fp_2de46e91e8e6e840,2025-02-01
D00002,fp_18a806efeb053fc4,2025-09-01
D00003,fp_3db02235261e2555,2025-04-01
D00004,fp_86c5d1d69ea9f508,2025-05-01
D00005,fp_5abca6e5d0b1e3eb,2025-05-01
D00006,fp_659b0105cb80f288,2025-02-01
D00007,fp_f5948a545f804eeb,2025-07-01
D00008,fp_90a3fbbf7580e050,2025-04-01
D00009,fp_b27e1442fd7fe973,2025-04-01
D00010,fp_af1d5a1a4ccb2355,2025-02-01
D00011,fp_fdde64afa75b395a,2025-11-01
D00012,fp_081c79d4c27437eb,2025-02-01
D00013,fp_6117727067c0518b,2025-07-01
D00014,fp_79db78628d7dd772,2025-01-01
D00015,fp_026b5383a301ec03,2025-12-01
D00016,fp_152aeaec2bdfcb41,2025-08-01
D00017,fp_6f14b3f6d867888b,2025-11-01
D00018,fp_54ce26bec8cce2c2,2025-10-01
D00019,fp_dba3496ffa323f69,2025-02-01
D00020,fp_873570a2e5110961,2025-01-01
D00021,fp_361f6d903ad1fa33,2025-12-01
D00022,fp_9118c400e336c243,2025-08-01
D00023,fp_0beb7c3445667c48,2025-02-01
D00024,fp_ecf32053af36b8cc,2025-05-01
D00025,fp_8b040f53e63949d4,2025-10-01
D00026,fp_086c405fa879d8f8,2025-03-01
D00027,fp_d9b59f84edc3a1c3,2025-06-01
D00028,fp_f622d84204022b3c,2025-04-01
D00029,fp_24e9bcfd9647ff9f,2025-12-01
D00030,fp_65f6ba53d226a8b3,2025-02-01
D00031,fp_299656e24c9d6907,2025-10-01
D00032,fp_9112fbc03d8f95f4,2025-07-01
D00033,fp_e582b678ad5229dd,2025-09-01
D00034,fp_6243bed754ec3f33,2025-12-01
D00035,fp_ca5e151b23d3cd4c,2025-12-01
D00036,fp_1413d64db962c8a7,2025-09-01
D00037,fp_f96d40f8bed63da0,2025-06-01
D00038,fp_1901ef870dbf0caf,2025-07-01
D00039,fp_d6b361e43b6dca0d,2025-02-01
D00040,fp_9aec56a857311609,2025-10-01
D00041,fp_9879cf35f4719986,2025-07-01
D00042,fp_c607b1e9f80b2cea,2025-06-01
D00043,fp_a255e1bb07958c1f,2025-05-01
D00044,fp_fe1a1ba9c8969c5b,2025-08-01
D00045,fp_3a67470c7d98302f,2025-06-01
D00046,fp_f0eebcce8d93e14a,2025-07-01
D00047,fp_2f8c83e56e8d9644,2025-11-01
D00048,fp_a921cb4c95fbe976,2025-07-01
D00049,fp_c5acc35415f00cb4,2025-10-01
D00050,fp_cc4d58194b9dfd58,2025-04-01
D00051,fp_12d15585b68e47fa,2025-02-01
D00052,fp_277b06674499d0a6,2025-07-01
D00053,fp_c8ad0899b630794d,2025-11-01
D00054,fp_bd5a0c9e277eb0aa,2025-07-01
D00055,fp_5c56d9bc5111d31d,2025-02-01
D00056,fp_01547950176de21f,2025-05-01
D00057,fp_5c238d8d71da35b9,2025-05-01
D00058,fp_21ebfaa91a2bd69c,2025-02-01
D00059,fp_6e54ac6d2ff8e87e,2025-08-01
D00060,fp_8e0370cf8e969227,2025-09-01
D00061,fp_1a7167c768759545,2025-01-01
D00062,fp_5a9a206a16f142a2,2025-09-01
D00063,fp_98d00c2c17d30f32,2025-10-01
D00064,fp_530ddda6c8d0f9e5,2025-07-01
D00065,fp_4ab6821c0328c136,2025-07-01
D00066,fp_c777a07f6346d4ef,2025-02-01
D00067,fp_e6b0da0ab98f5dbe,2025-09-01
D00068,fp_fe2390f3e7bbaefc,2025-04-01
D00069,fp_85671b58926bffa5,2025-03-01
D00070,fp_6177a771af70de70,2025-03-01
D00071,fp_44d7df9a238b05b7,2025-05-01
D00072,fp_7e3d5ee444b64ec1,2025-03-01
D00073,fp_2ace1aa9103246b3,2025-07-01
D00074,fp_6bcd5ce746a56fe8,2025-05-01
D00075,fp_c85cd7147bf69552,2025-02-01
D00076,fp_406f64d65c72aebd,2025-04-01
D00077,fp_a002352ab88cddde,2025-08-01
D00078,fp_9dde01889803b22e,2025-04-01
D00079,fp_1b628a9d75366b9f,2025-03-01
D00080,fp_01bb819c4dfe1117,2025-07-01
D00081,fp_d773f98d550c2fe9,2025-10-01
D00082,fp_cdd7f460614077d3,2025-06-01
D00083,fp_55b145e470b27304,2025-07-01
D00084,fp_d2d33488d0c30018,2025-11-01
