refund_id,txn_id,requested_at,reason_code,approved
RF0000002,T0000002,2026-02-14 07:48:00,customer_request,True
RF0000017,T0000017,2026-03-02 10:30:00,customer_request,True
RF0000049,T0000049,2026-04-19 22:46:00,other,True
RF0000064,T0000064,2026-01-28 15:18:00,duplicate,True
RF0000084,T0000084,2026-08-01 12:14:00,customer_request,True
RF0000086,T0000086,2026-03-22 00:37:00,duplicate,True
RF0000094,T0000094,2026-06-01 19:25:00,customer_request,True
RF0000099,T0000099,2026-05-30 14:46:00,other,True
RF0000105,T0000105,2026-07-27 23:45:00,duplicate,True
RF0000107,T0000107,2026-07-26 10:51:00,product_issue,True
RF0000115,T0000115,2026-07-11 12:12:00,duplicate,True
RF0000121,T0000121,2026-07-24 08:49:00,customer_request,True
RF0000129,T0000129,2026-07-01 07:07:00,duplicate,True
RF0000157,T0000157,2026-05-24 15:11:00,customer_request,True
RF0000175,T0000175,2026-01-15 03:27:00,product_issue,True
RF0000178,T0000178,2026-06-23 05:10:00,other,True
RF0000193,T0000193,2026-06-28 01:07:00,other,True
RF0000196,T0000196,2026-01-15 20:38:00,customer_request,True
RF0000200,T0000200,2026-02-20 01:40:00,product_issue,True
RF0000202,T0000202,2026-06-19 21:57:00,customer_request,True
RF0000210,T0000210,2026-01-26 19:28:00,customer_request,True
RF0000216,T0000216,2026-03-25 19:24:00,duplicate,True
RF0000243,T0000243,2026-02-24 05:03:00,other,True
RF0000265,T0000265,2026-05-14 18:17:00,product_issue,True
RF0000274,T0000274,2026-03-27 23:41:00,product_issue,True
RF0000277,T0000277,2026-07-14 20:00:00,duplicate,True
RF0000287,T0000287,2026-01-29 19:08:00,customer_request,True
RF0000288,T0000288,2026-02-19 20:52:00,duplicate,True
RF0000290,T0000290,2026-06-18 15:01:00,product_issue,True
RF0000301,T0000301,2026-06-23 13:58:00,duplicate,True
RF0000309,T0000309,2026-03-16 02:56:00,product_issue,True
RF0000317,T0000317,2026-02-22 22:34:00,other,True
RF0000323,T0000323,2026-04-02 22:16:00,duplicate,True
RF0000338,T0000338,2026-07-14 20:12:00,duplicate,True
RF0000348,T0000348,2026-06-29 17:51:00,customer_request,True
RF0000383,T0000383,2026-03-12 17:54:00,duplicate,True
RF0000390,T0000390,2026-04-17 13:27:00,customer_request,True
RF0000401,T0000401,2026-07-21 07:55:00,product_issue,True
RF0000411,T0000411,2026-04-20 01:15:00,customer_request,True
RF0000418,T0000418,2026-05-08 07:57:00,product_issue,True
RF0000423,T0000423,2026-03-25 10:47:00,product_issue,True
RF0000440,T0000440,2026-03-07 13:35:00,other,True
RF0000443,T0000443,2026-05-02 03:33:00,customer_request,True
RF0000447,T0000447,2026-07-23 22:12:00,customer_request,True
RF0000456,T0000456,2026-03-16 09:39:00,product_issue,True
RF0000457,T0000457,2026-05-11 12:30:00,product_issue,True
RF0000491,T0000491,2026-04-08 00:54:00,other,True
RF0000530,T0000530,2026-06-22 22:25:00,product_issue,True
RF0000533,T0000533,2026-03-01 19:54:00,product_issue,True
RF0000547,T0000547,2026-07-03 17:11:00,product_issue,True
RF0000564,T0000564,2026-07-31 15:35:00,product_issue,True
RF0000567,T0000567,2026-03-22 10:07:00,duplicate,True
RF0000590,T0000590,2026-04-20 03:40:00,product_issue,True
RF0000607,T0000607,2026-07-13 12:33:00,customer_request,True
RF0000611,T0000611,2026-04-16 05:47:00,product_issue,True
RF0000624,T0000624,2026-05-10 18:47:00,customer_request,True
RF0000626,T0000626,2026-02-17 23:15:00,customer_request,True
RF0000630,T0000630,2026-01-19 08:05:00,product_issue,True
