ring_id,ring_type,size,intended_pattern,customer_ids
R0001,address_ring,5,behavioral_similarity,"['C02915', 'C02775', 'C01427', 'C08856', 'C04216']"
R0002,device_ring,5,amount_pattern,"['C09546', 'C00072', 'C00097', 'C00368', 'C01022']"
R0003,address_ring,6,amount_pattern,"['C00173', 'C01340', 'C04262', 'C06888', 'C07326', 'C02406']"
R0004,device_ring,4,amount_pattern,"['C00701', 'C02405', 'C03359', 'C03651']"
R0005,device_ring,2,burst,"['C05565', 'C04212']"
R0006,address_ring,2,amount_pattern,"['C01968', 'C08734']"
R0007,device_ring,2,amount_pattern,"['C01858', 'C08558']"
R0008,address_ring,3,slow_burn,"['C03179', 'C03658', 'C09402']"
R0009,payment_ring,5,amount_pattern,"['C04068', 'C08715', 'C04488', 'C03945', 'C05183']"
R0010,payment_ring,5,behavioral_similarity,"['C06525', 'C07732', 'C01637', 'C06713', 'C03065']"
R0011,payment_ring,3,slow_burn,"['C05527', 'C04886', 'C00169']"
R0012,payment_ring,6,slow_burn,"['C08014', 'C09142', 'C00356', 'C01754', 'C00021', 'C09957']"
R0013,payment_ring,4,amount_pattern,"['C01472', 'C00354', 'C00309', 'C06585']"
R0014,device_ring,4,slow_burn,"['C09698', 'C07737', 'C09252', 'C00514']"
R0015,address_ring,5,behavioral_similarity,"['C04376', 'C03682', 'C00867', 'C04713', 'C03715']"
R0016,payment_ring,6,slow_burn,"['C06994', 'C01128', 'C05194', 'C03261', 'C04223', 'C09950']"
R0017,address_ring,2,slow_burn,"['C05988', 'C08139']"
R0018,device_ring,5,burst,"['C06098', 'C04648', 'C07030', 'C03845', 'C09927']"
R0019,multi_resource_ring,3,slow_burn,"['C09130', 'C00523', 'C09197']"
R0020,multi_resource_ring,6,amount_pattern,"['C01376', 'C02569', 'C09223', 'C04946', 'C04322', 'C02908']"
R0021,address_ring,5,burst,"['C05176', 'C00056', 'C00313', 'C00942', 'C09919']"
R0022,device_ring,5,burst,"['C02023', 'C07930', 'C00597', 'C07646', 'C01384']"
R0023,multi_resource_ring,6,slow_burn,"['C09026', 'C02293', 'C04507', 'C06304', 'C02740', 'C08969']"
R0024,payment_ring,5,burst,"['C09109', 'C05195', 'C08320', 'C02753', 'C07764']"
R0025,device_ring,5,slow_burn,"['C01484', 'C03890', 'C03976', 'C06768', 'C01344']"
R0026,address_ring,6,amount_pattern,"['C05789', 'C00187', 'C09961', 'C02219', 'C05302', 'C02886']"
R0027,multi_resource_ring,4,burst,"['C05490', 'C07488', 'C07249', 'C01371']"
R0028,payment_ring,5,amount_pattern,"['C03307', 'C07925', 'C00331', 'C06597', 'C04086']"
R0029,device_ring,5,amount_pattern,"['C08597', 'C04752', 'C01429', 'C00846', 'C02914']"
R0030,address_ring,4,slow_burn,"['C09904', 'C01232', 'C02865', 'C04870']"
R0031,payment_ring,3,slow_burn,"['C09074', 'C05478', 'C03642']"
R0032,device_ring,6,slow_burn,"['C08548', 'C03121', 'C08310', 'C01278', 'C00152', 'C06664']"
R0033,payment_ring,5,amount_pattern,"['C02075', 'C00705', 'C05778', 'C00795', 'C07692']"
R0034,payment_ring,5,amount_pattern,"['C01359', 'C03087', 'C07779', 'C05793', 'C01658']"
R0035,multi_resource_ring,6,slow_burn,"['C05969', 'C04361', 'C08686', 'C08741', 'C07354', 'C07539']"
R0036,address_ring,4,behavioral_similarity,"['C08769', 'C00528', 'C05941', 'C08748']"
R0037,payment_ring,2,slow_burn,"['C03082', 'C03019']"
R0038,multi_resource_ring,4,burst,"['C08553', 'C05418', 'C05765', 'C09817']"
R0039,payment_ring,6,amount_pattern,"['C08577', 'C07172', 'C02712', 'C01928', 'C09849', 'C02458']"
R0040,device_ring,6,slow_burn,"['C08954', 'C08043', 'C02083', 'C00633', 'C09777', 'C04926']"
R0041,multi_resource_ring,3,slow_burn,"['C06011', 'C01291', 'C09964']"
R0042,payment_ring,3,burst,"['C02268', 'C04326', 'C09040']"
R0043,payment_ring,6,slow_burn,"['C06906', 'C09815', 'C02236', 'C01776', 'C04291', 'C08619']"
R0044,payment_ring,4,slow_burn,"['C00466', 'C05013', 'C02527', 'C09379']"
R0045,payment_ring,6,amount_pattern,"['C01032', 'C05007', 'C04112', 'C08875', 'C08955', 'C01297']"
R0046,multi_resource_ring,4,burst,"['C01808', 'C02141', 'C03051', 'C02153']"
R0047,multi_resource_ring,6,slow_burn,"['C02734', 'C07578', 'C06812', 'C01251', 'C02437', 'C09023']"
R0048,device_ring,2,behavioral_similarity,"['C00515', 'C05824']"
R0049,device_ring,2,slow_burn,"['C09724', 'C06998']"
R0050,multi_resource_ring,4,behavioral_similarity,"['C02409', 'C09506', 'C01487', 'C08188']"
R0051,address_ring,6,behavioral_similarity,"['C01057', 'C02031', 'C07279', 'C07225', 'C03253', 'C06472']"
R0052,address_ring,3,behavioral_similarity,"['C01261', 'C05090', 'C06567']"
R0053,address_ring,3,burst,"['C07160', 'C08877', 'C05593']"
R0054,device_ring,4,amount_pattern,"['C04435', 'C02342', 'C01012', 'C02752']"
R0055,address_ring,6,behavioral_similarity,"['C07368', 'C02252', 'C00249', 'C09949', 'C06088', 'C04288']"
R0056,multi_resource_ring,4,slow_burn,"['C00159', 'C04651', 'C01064', 'C00678']"
R0057,multi_resource_ring,6,amount_pattern,"['C08904', 'C09977', 'C07360', 'C08281', 'C01257', 'C06675']"
