txn_id,customer_id,device_id,payment_instrument_id,amount,timestamp,merchant_category,status,ground_truth_behavior
T0000001,C09536,D02625,P00461,491.74,2026-06-30 12:36:00,grocery,success,NORMAL
T0000002,C09928,D04605,P04178,992.95,2026-02-13 09:48:00,electronics,success,NORMAL
T0000003,C06778,D01986,P00971,336.06,2026-02-28 15:02:00,grocery,success,NORMAL
T0000004,C07846,D00086,P04196,461.67,2026-07-14 16:25:00,travel,success,NORMAL
T0000005,C00200,D01525,P01227,2544.11,2026-07-19 06:20:00,food,success,NORMAL
T0000006,C07309,D00200,P04025,887.49,2026-06-27 00:32:00,fashion,success,NORMAL
T0000007,C03366,D04036,P05972,4617.1,2026-02-16 13:35:00,electronics,success,NORMAL
T0000008,C07541,D03575,P06247,997.9,2026-06-26 22:45:00,fashion,success,NORMAL
T0000009,C05199,D01666,P04567,450.21,2026-02-26 04:09:00,electronics,success,NORMAL
T0000010,C01538,D00736,P08487,2217.72,2026-07-19 00:14:00,grocery,success,NORMAL
T0000011,C07064,D01567,P05745,990.9,2026-01-11 22:45:00,fashion,success,NORMAL
T0000012,C02862,D00964,P00453,2535.72,2026-05-30 20:44:00,food,success,NORMAL
T0000013,C06370,D03341,P04670,781.75,2026-07-12 10:41:00,travel,success,NORMAL
T0000014,C04665,D01188,P05866,272.21,2026-05-19 12:35:00,fashion,success,NORMAL
T0000015,C01161,D03736,P05218,1096.81,2026-05-02 07:46:00,food,success,NORMAL
T0000016,C01735,D01293,P08684,1560.19,2026-05-15 21:52:00,electronics,success,NORMAL
T0000017,C07580,D00872,P08862,856.45,2026-03-01 23:30:00,electronics,success,NORMAL
T0000018,C08097,D00285,P05151,1299.72,2026-06-04 17:58:00,grocery,success,NORMAL
T0000019,C00645,D03113,P01381,2314.31,2026-04-11 10:00:00,travel,success,NORMAL
T0000020,C06547,D00867,P05195,8315.29,2026-03-03 17:13:00,travel,success,NORMAL
T0000021,C00815,D01403,P04587,2189.34,2026-06-14 02:49:00,food,success,NORMAL
T0000022,C01102,D01462,P04002,10560.46,2026-02-21 02:59:00,electronics,success,NORMAL
T0000023,C08688,D01305,P04384,527.7,2026-07-22 23:56:00,food,success,NORMAL
T0000024,C03854,D00432,P04278,11479.22,2026-04-27 23:40:00,fashion,success,NORMAL
T0000025,C03112,D04836,P07101,10632.1,2026-02-01 02:23:00,travel,success,NORMAL
T0000026,C07440,D02082,P06373,1529.9,2026-07-05 05:45:00,electronics,success,NORMAL
T0000027,C06063,D03219,P00619,843.61,2026-02-02 19:59:00,grocery,success,NORMAL
T0000028,C01570,D01312,P02271,1038.64,2026-06-03 18:30:00,food,success,NORMAL
T0000029,C08615,D02533,P00689,6956.29,2026-05-07 08:12:00,electronics,success,NORMAL
T0000030,C06619,D01602,P04683,343.04,2026-02-22 20:02:00,food,success,NORMAL
T0000031,C07741,D00086,P04196,4756.37,2026-05-11 09:30:00,grocery,success,NORMAL
T0000032,C00713,D02580,P00504,5053.24,2026-01-04 14:17:00,food,success,NORMAL
T0000033,C09013,D03622,P04699,946.11,2026-05-03 02:38:00,electronics,success,NORMAL
T0000034,C00339,D01025,P05111,7897.87,2026-01-13 09:34:00,travel,success,NORMAL
T0000035,C00824,D03938,P08838,725.45,2026-05-13 18:31:00,electronics,success,ABUSIVE
T0000036,C03540,D03650,P09255,8846.55,2026-05-06 13:25:00,fashion,success,NORMAL
T0000037,C01656,D00410,P01440,1697.29,2026-01-12 20:18:00,fashion,success,NORMAL
T0000038,C09328,D02229,P02842,8625.05,2026-06-20 02:47:00,grocery,success,NORMAL
T0000039,C03943,D02395,P02871,8680.42,2026-01-24 08:41:00,fashion,success,NORMAL
T0000040,C06332,D02682,P01236,918.39,2026-05-07 04:19:00,travel,success,NORMAL
T0000041,C02203,D02803,P09318,4827.02,2026-07-02 09:45:00,travel,success,NORMAL
T0000042,C05833,D03202,P04224,914.38,2026-04-11 14:09:00,electronics,success,NORMAL
T0000043,C09310,D01393,P03403,1065.02,2026-01-02 00:32:00,food,success,NORMAL
T0000044,C08785,D03750,P07003,1025.74,2026-07-23 03:52:00,grocery,success,NORMAL
T0000045,C04319,D01040,P08655,559.58,2026-06-15 04:12:00,food,success,NORMAL
T0000046,C02952,D04029,P07022,10604.32,2026-06-17 05:58:00,electronics,success,NORMAL
T0000047,C02062,D01463,P08786,7076.3,2026-07-18 02:43:00,travel,success,NORMAL
T0000048,C07969,D04504,P09948,11007.61,2026-02-27 22:02:00,travel,success,NORMAL
T0000049,C00510,D01486,P03443,2297.4,2026-04-17 10:46:00,grocery,success,NORMAL
T0000050,C05395,D03411,P08093,1307.4,2026-05-18 17:45:00,electronics,success,NORMAL
T0000051,C04697,D03356,P08485,1314.17,2026-07-14 18:55:00,grocery,success,NORMAL
T0000052,C09381,D01876,P08008,2828.38,2026-01-15 21:31:00,electronics,success,NORMAL
T0000053,C06696,D02120,P08984,553.78,2026-05-24 18:11:00,electronics,success,NORMAL
T0000054,C03475,D02241,P04741,1008.3,2026-07-09 16:18:00,electronics,success,NORMAL
T0000055,C03962,D04627,P05597,1043.28,2026-04-15 17:01:00,grocery,success,NORMAL
T0000056,C07167,D02501,P07833,2261.04,2026-04-20 05:24:00,electronics,success,NORMAL
T0000057,C03196,D04527,P08911,1077.97,2026-05-22 22:51:00,travel,success,NORMAL
T0000058,C00118,D01178,P05052,472.51,2026-06-14 17:53:00,fashion,success,NORMAL
T0000059,C09846,D00792,P04859,4586.54,2026-02-17 02:11:00,fashion,success,NORMAL
T0000060,C03651,D00989,P09453,1999.0,2026-06-30 20:54:00,travel,success,ABUSIVE
T0000061,C09608,D02575,P02299,1580.68,2026-06-06 00:26:00,food,success,NORMAL
T0000062,C01114,D04993,P02961,11195.14,2026-07-18 01:26:00,electronics,success,NORMAL
T0000063,C04014,D01061,P03131,544.17,2026-02-08 20:05:00,electronics,success,NORMAL
T0000064,C02776,D03807,P00217,1056.65,2026-01-27 17:18:00,grocery,success,NORMAL
T0000065,C00428,D02973,P00510,926.44,2026-03-28 17:29:00,grocery,success,NORMAL
T0000066,C02938,D01052,P05538,1379.0,2026-04-22 01:08:00,grocery,success,NORMAL
T0000067,C04016,D03623,P04138,304.58,2026-07-19 01:40:00,electronics,success,NORMAL
T0000068,C02019,D01133,P06919,1541.72,2026-05-03 18:57:00,grocery,success,NORMAL
T0000069,C03631,D03954,P01903,306.25,2026-02-08 12:24:00,food,success,NORMAL
T0000070,C08731,D02970,P08757,8802.98,2026-06-22 21:48:00,electronics,success,NORMAL
T0000071,C03412,D00200,P04025,1626.84,2026-01-25 12:45:00,travel,success,NORMAL
T0000072,C02292,D04838,P02871,5083.44,2026-05-06 23:53:00,electronics,success,NORMAL
T0000073,C01207,D00313,P07396,9565.45,2026-05-28 06:04:00,electronics,success,NORMAL
T0000074,C03912,D04754,P07141,830.58,2026-07-27 04:03:00,travel,success,NORMAL
T0000075,C03557,D00920,P06035,732.99,2026-01-09 06:51:00,grocery,success,NORMAL
T0000076,C00132,D01523,P08252,5157.58,2026-04-15 08:08:00,grocery,success,NORMAL
T0000077,C05104,D03432,P03831,866.46,2026-06-22 02:56:00,travel,success,NORMAL
T0000078,C04722,D03462,P00241,511.57,2026-03-26 08:30:00,fashion,success,NORMAL
T0000079,C04574,D00269,P03626,1338.7,2026-03-04 12:24:00,electronics,success,NORMAL
T0000080,C05337,D02919,P07336,4661.9,2026-05-19 04:14:00,travel,success,NORMAL
T0000081,C09741,D03962,P09848,787.47,2026-05-08 17:26:00,travel,success,NORMAL
T0000082,C00170,D04937,P08095,10863.77,2026-02-10 20:35:00,fashion,success,NORMAL
T0000083,C09424,D04773,P06216,1066.71,2026-07-26 19:30:00,travel,success,NORMAL
T0000084,C02908,D04092,P08640,2999.0,2026-07-30 06:14:00,electronics,success,ABUSIVE
T0000085,C04621,D01876,P01420,6974.08,2026-07-30 19:25:00,food,success,NORMAL
T0000086,C00728,D03335,P01054,8550.9,2026-03-19 11:37:00,food,success,NORMAL
T0000087,C01382,D04173,P02586,4674.38,2026-06-06 05:59:00,travel,success,NORMAL
T0000088,C05639,D04111,P03000,1143.1,2026-06-07 09:47:00,fashion,success,NORMAL
T0000089,C02397,D00849,P01546,820.48,2026-04-04 22:19:00,travel,success,NORMAL
T0000090,C00093,D00295,P01227,4927.92,2026-01-05 15:00:00,fashion,success,NORMAL
T0000091,C02399,D02081,P06327,1075.8,2026-07-17 18:28:00,electronics,success,NORMAL
T0000092,C08126,D04442,P00826,568.17,2026-07-16 19:05:00,food,success,NORMAL
T0000093,C02364,D03661,P08811,2409.64,2026-02-26 13:15:00,travel,success,NORMAL
T0000094,C07248,D02584,P08537,937.54,2026-05-30 00:25:00,fashion,success,ABUSIVE
T0000095,C01361,D01233,P08082,11316.31,2026-05-31 00:21:00,electronics,success,NORMAL
T0000096,C00180,D01204,P03574,870.01,2026-05-22 09:52:00,electronics,success,NORMAL
T0000097,C01954,D02092,P00453,857.18,2026-04-06 01:53:00,travel,success,NORMAL
T0000098,C02435,D01640,P08079,4391.04,2026-06-26 07:32:00,grocery,success,NORMAL
